EngagementID,ContentID,ProductID,ContentType,Views,Clicks,Likes,EngagementDate
375,44,9,BLOG,439,11,0,06.11.2025
376,37,8,BLOG,4372,899,100,23.08.2024
377,16,16,BLOG,148,16,1,30.03.2025
378,22,18,VIDEO,7680,2029,526,19.08.2023
379,19,18,VIDEO,1942,392,66,15.03.2024
380,41,16,SOCIAL MEDIA,273,33,3,20.01.2025
381,49,3,VIDEO,2509,181,10,28.02.2025
382,24,2,BLOG,286,95,30,04.05.2023
383,20,6,NEWSLETTER,8138,1754,522,23.06.2023
384,34,8,SOCIAL MEDIA,7361,2639,305,16.04.2023
385,34,8,SOCIAL MEDIA,2505,324,33,21.06.2024
386,22,18,BLOG,448,21,0,10.12.2025
387,38,8,SOCIAL MEDIA,2680,441,74,27.11.2024
388,31,3,SOCIAL MEDIA,5684,1754,533,09.01.2023
389,42,1,SOCIAL MEDIA,1548,309,46,24.05.2024
390,31,7,BLOG,5569,1596,526,11.09.2023
391,24,18,NEWSLETTER,555,29,2,04.04.2025
392,12,6,SOCIAL MEDIA,972,132,10,06.03.2025
393,38,4,SOCIAL MEDIA,1649,89,4,28.06.2025
394,19,17,VIDEO,1434,320,41,23.05.2023
395,26,1,VIDEO,4746,2012,681,09.02.2023
396,30,14,BLOG,1770,194,30,25.11.2024
397,18,9,NEWSLETTER,3491,1278,487,20.05.2023
398,27,20,BLOG,522,21,0,17.09.2025
399,32,1,NEWSLETTER,4548,1543,380,05.04.2023
400,37,2,BLOG,1815,324,34,30.08.2024
401,41,17,BLOG,1305,30,1,16.07.2025
402,2,5,VIDEO,9328,4574,950,04.01.2023
403,22,11,VIDEO,2059,119,18,18.08.2024
404,43,8,NEWSLETTER,2848,381,22,07.10.2024
405,42,7,NEWSLETTER,2490,541,110,13.06.2024
406,36,7,SOCIAL MEDIA,6347,741,137,09.09.2023
407,20,16,BLOG,318,6,0,04.09.2025
408,12,12,NEWSLETTER,1097,199,33,12.08.2024
409,28,5,BLOG,412,37,4,25.02.2024
410,23,2,SOCIAL MEDIA,3711,543,105,08.09.2024
411,3,12,BLOG,5430,1637,503,13.01.2024
412,28,16,NEWSLETTER,836,46,1,06.06.2025
413,28,8,BLOG,2164,250,21,18.08.2024
414,28,3,SOCIAL MEDIA,4684,502,130,06.02.2024
415,35,16,BLOG,1922,94,6,30.05.2025
416,25,19,NEWSLETTER,4543,1195,157,27.11.2023
417,29,2,BLOG,3275,256,43,09.05.2024
418,35,15,VIDEO,846,28,1,02.09.2025
419,39,10,SOCIAL MEDIA,2803,978,409,28.02.2023
420,23,13,BLOG,4713,1086,188,30.10.2023
421,35,8,BLOG,557,36,1,31.07.2025
422,46,8,BLOG,1064,63,1,22.08.2025
423,10,6,BLOG,3504,1178,130,29.11.2023
424,47,9,VIDEO,101,1,0,20.11.2025
425,26,8,SOCIAL MEDIA,2097,102,17,05.11.2024
426,23,4,VIDEO,1186,225,34,15.09.2024
427,37,15,BLOG,235,16,0,16.07.2025
428,2,17,VIDEO,120,3,0,12.12.2025
429,22,13,VIDEO,4450,814,251,10.02.2024
430,44,6,VIDEO,677,9,0,23.11.2025
431,20,16,VIDEO,1044,14,0,21.08.2025
432,32,12,NEWSLETTER,1773,111,4,17.01.2025
433,26,7,NEWSLETTER,83,19,1,31.05.2024
434,32,17,BLOG,112,3,0,16.06.2025
435,27,6,VIDEO,580,88,9,18.09.2024
436,40,8,NEWSLETTER,514,47,5,14.09.2024
437,43,11,BLOG,3986,307,71,07.03.2024
438,21,17,SOCIAL MEDIA,2678,661,186,18.01.2024
439,23,14,BLOG,3674,281,66,11.05.2024
440,9,20,BLOG,175,18,3,22.04.2024
441,6,18,SOCIAL MEDIA,5865,712,131,20.02.2024
442,37,6,NEWSLETTER,1693,89,4,28.04.2025
443,5,12,SOCIAL MEDIA,3591,613,97,05.11.2024
444,47,20,BLOG,487,57,2,22.01.2025
445,41,18,NEWSLETTER,1479,80,5,21.05.2025
446,34,9,NEWSLETTER,1053,48,2,22.06.2025
447,25,10,SOCIAL MEDIA,877,21,0,09.12.2025
448,25,5,SOCIAL MEDIA,1705,130,4,17.06.2025
449,25,16,SOCIAL MEDIA,1147,209,61,27.10.2023
450,1,15,SOCIAL MEDIA,5462,1685,332,19.04.2023
451,48,16,SOCIAL MEDIA,624,131,15,18.08.2024
452,38,14,VIDEO,1853,259,15,03.01.2025
453,34,19,NEWSLETTER,1224,49,2,26.06.2025
454,9,8,BLOG,1701,528,46,01.12.2023
455,39,19,VIDEO,58,4,0,15.04.2024
456,21,14,VIDEO,518,13,0,10.09.2025
457,36,1,SOCIAL MEDIA,3815,1077,67,17.04.2024
458,30,7,NEWSLETTER,2995,415,43,23.06.2024
459,43,2,SOCIAL MEDIA,1186,129,9,08.12.2024
460,24,18,SOCIAL MEDIA,6974,1320,296,18.06.2023
461,32,15,NEWSLETTER,204,44,8,20.05.2024
462,11,2,NEWSLETTER,2717,304,25,18.09.2024
463,28,13,NEWSLETTER,2060,143,7,04.12.2024
464,17,5,NEWSLETTER,62,15,2,19.04.2024
465,25,14,BLOG,5626,497,134,28.06.2023
466,20,8,BLOG,3351,359,52,04.06.2024
467,7,4,SOCIAL MEDIA,4551,1228,208,09.06.2023
468,7,20,SOCIAL MEDIA,4974,408,92,09.09.2023
469,23,4,SOCIAL MEDIA,171,17,2,23.10.2024
470,14,1,BLOG,983,64,6,07.02.2025
471,2,5,VIDEO,2972,216,34,09.05.2024
472,29,3,NEWSLETTER,1190,285,94,25.01.2023
473,46,14,SOCIAL MEDIA,2267,253,27,05.03.2025
474,42,8,NEWSLETTER,1173,81,2,07.05.2025
475,5,20,NEWSLETTER,824,70,3,26.03.2025
476,11,7,BLOG,5021,1098,293,19.05.2024
477,38,6,NEWSLETTER,563,105,20,14.10.2024
478,43,13,SOCIAL MEDIA,3326,410,39,17.10.2024
479,31,19,SOCIAL MEDIA,2049,331,34,06.10.2024
480,21,2,SOCIAL MEDIA,2066,387,85,20.09.2023
481,27,10,BLOG,3561,1185,206,16.08.2023
482,44,14,SOCIAL MEDIA,1144,456,76,30.03.2023
483,47,7,NEWSLETTER,1597,101,7,14.12.2024
484,30,7,SOCIAL MEDIA,4059,459,67,28.04.2024
485,35,20,VIDEO,1970,817,335,01.05.2023
486,17,13,VIDEO,2158,254,50,25.04.2024
487,21,7,VIDEO,2050,203,22,19.03.2025
488,36,20,BLOG,2132,373,80,06.01.2024
489,21,9,VIDEO,1407,66,2,31.03.2025
490,21,9,SOCIAL MEDIA,1409,103,9,19.11.2024
491,49,15,NEWSLETTER,1560,297,103,04.04.2023
492,26,8,NEWSLETTER,69,5,0,12.08.2024
493,14,3,SOCIAL MEDIA,3071,537,74,29.08.2024
494,23,13,SOCIAL MEDIA,4224,509,53,13.05.2024
495,42,17,SOCIAL MEDIA,2656,799,84,19.11.2023
496,27,5,NEWSLETTER,4193,1431,386,21.10.2023
497,46,7,BLOG,998,11,0,25.11.2025
498,2,18,SOCIAL MEDIA,1734,452,125,06.04.2024
499,10,11,VIDEO,2575,97,9,28.01.2025
